 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median,Skew,%Area
116,2,255,0,255,255,255,343.500,122.000,343.500,122.000,255,NaN,100
117,8,255,0,255,255,255,323.875,124.250,323.875,124.250,255,NaN,100
118,1,255,0,255,255,255,469.500,124.500,469.500,124.500,255,NaN,100
119,2,255,0,255,255,255,352.500,126.000,352.500,126.000,255,NaN,100
120,1,255,0,255,255,255,345.500,128.500,345.500,128.500,255,NaN,100
121,1,255,0,255,255,255,240.500,129.500,240.500,129.500,255,NaN,100
122,1,255,0,255,255,255,401.500,129.500,401.500,129.500,255,NaN,100
123,5,255,0,255,255,255,255.100,131.300,255.100,131.300,255,NaN,100
124,1,255,0,255,255,255,325.500,130.500,325.500,130.500,255,NaN,100
125,5,255,0,255,255,255,268.300,133.100,268.300,133.100,255,NaN,100
126,1,255,0,255,255,255,429.500,132.500,429.500,132.500,255,NaN,100
127,1,255,0,255,255,255,272.500,134.500,272.500,134.500,255,NaN,100
128,4,255,0,255,255,255,402.250,136.750,402.250,136.750,255,NaN,100
129,5,255,0,255,255,255,443.700,136.100,443.700,136.100,255,NaN,100
130,1,255,0,255,255,255,425.500,136.500,425.500,136.500,255,NaN,100
131,1,255,0,255,255,255,146.500,138.500,146.500,138.500,255,NaN,100
132,1,255,0,255,255,255,309.500,138.500,309.500,138.500,255,NaN,100
133,1,255,0,255,255,255,442.500,138.500,442.500,138.500,255,NaN,100
134,1,255,0,255,255,255,434.500,139.500,434.500,139.500,255,NaN,100
135,3,255,0,255,255,255,359.500,141.500,359.500,141.500,255,NaN,100
136,8,255,0,255,255,255,363.125,143.125,363.125,143.125,255,NaN,100
137,3,255,0,255,255,255,432.833,141.833,432.833,141.833,255,NaN,100
138,1,255,0,255,255,255,352.500,145.500,352.500,145.500,255,NaN,100
139,1,255,0,255,255,255,371.500,145.500,371.500,145.500,255,NaN,100
140,3,255,0,255,255,255,206.833,147.833,206.833,147.833,255,NaN,100
141,1,255,0,255,255,255,220.500,148.500,220.500,148.500,255,NaN,100
142,1,255,0,255,255,255,273.500,149.500,273.500,149.500,255,NaN,100
143,2,255,0,255,255,255,432.000,150.000,432.000,150.000,255,NaN,100
144,2,255,0,255,255,255,323.500,151.000,323.500,151.000,255,NaN,100
145,6,255,0,255,255,255,210.833,153.333,210.833,153.333,255,NaN,100
146,2,255,0,255,255,255,450.500,154.000,450.500,154.000,255,NaN,100
